Counts,Lengths
0.0,97.308
0.0,97.624
838.0,97.94
0.0,98.256
0.0,98.572
861.0,98.888
0.0,99.20400000000001
0.0,99.52
865.0,99.836
0.0,100.152
0.0,100.468
910.0,100.784
0.0,101.1
0.0,101.416
879.0,101.732
0.0,102.048
0.0,102.364
0.0,102.68
905.0,102.996
0.0,103.312
0.0,103.628
1001.0,103.944
0.0,104.26
0.0,104.57600000000001
960.0,104.892
0.0,105.208
0.0,105.524
948.0,105.84
0.0,106.156
0.0,106.472
953.0,106.788
0.0,107.104
0.0,107.42
956.0,107.736
0.0,108.052
0.0,108.368
0.0,108.684
994.0,109.0
0.0,109.316
0.0,109.632
1014.0,109.94800000000001
0.0,110.264
0.0,110.58
1047.0,110.896
0.0,111.212
0.0,111.528
1036.0,111.844
0.0,112.16
0.0,112.476
1038.0,112.792
0.0,113.108
0.0,113.424
1020.0,113.74
0.0,114.056
0.0,114.372
1082.0,114.688
0.0,115.004
0.0,115.32000000000001
0.0,115.636
1061.0,115.952
0.0,116.268
0.0,116.584
1055.0,116.9
0.0,117.216
0.0,117.532
1055.0,117.848
0.0,118.164
0.0,118.48
1074.0,118.796
0.0,119.112
0.0,119.428
1107.0,119.744
0.0,120.06
0.0,120.376
1091.0,120.69200000000001
0.0,121.008
0.0,121.324
0.0,121.64
1133.0,121.956
0.0,122.272
0.0,122.588
1135.0,122.904
0.0,123.22
0.0,123.536
1100.0,123.852
0.0,124.168
0.0,124.484
1122.0,124.8
0.0,125.116
0.0,125.432
1100.0,125.748
0.0,126.06400000000001
0.0,126.38
1115.0,126.696
0.0,127.012
0.0,127.328
0.0,127.644
1133.0,127.96000000000001
0.0,128.276
0.0,128.59199999999998
1115.0,128.90800000000002
0.0,129.224
0.0,129.54000000000002
1097.0,129.856
0.0,130.172
0.0,130.488
1080.0,130.804
0.0,131.12
0.0,131.436
1045.0,131.752
0.0,132.06799999999998
0.0,132.38400000000001
1091.0,132.7
0.0,133.01600000000002
0.0,133.332
0.0,133.648
1064.0,133.964
0.0,134.28
0.0,134.596
1111.0,134.912
0.0,135.228
0.0,135.54399999999998
1042.0,135.86
0.0,136.176
0.0,136.49200000000002
1094.0,136.808
0.0,137.124
0.0,137.44
1053.0,137.756
0.0,138.072
0.0,138.388
1002.0,138.704
0.0,139.01999999999998
0.0,139.336
0.0,139.652
982.0,139.96800000000002
0.0,140.284
0.0,140.6
1013.0,140.916
0.0,141.232
0.0,141.548
980.0,141.864
0.0,142.18
0.0,142.49599999999998
1014.0,142.812
0.0,143.128
0.0,143.44400000000002
1017.0,143.76
0.0,144.07600000000002
0.0,144.392
942.0,144.708
0.0,145.024
0.0,145.34
0.0,145.656
982.0,145.97199999999998
0.0,146.288
0.0,146.60399999999998
996.0,146.92000000000002
0.0,147.236
0.0,147.55200000000002
1000.0,147.868
0.0,148.184
0.0,148.5
914.0,148.816
0.0,149.132
0.0,149.448
880.0,149.764
0.0,150.07999999999998
0.0,150.39600000000002
934.0,150.712
0.0,151.02800000000002
0.0,151.344
0.0,151.66
901.0,151.976
0.0,152.292
0.0,152.608
858.0,152.924
0.0,153.24
0.0,153.55599999999998
842.0,153.872
0.0,154.188
0.0,154.50400000000002
839.0,154.82
0.0,155.136
0.0,155.452
859.0,155.768
0.0,156.084
0.0,156.4
844.0,156.716
0.0,157.03199999999998
0.0,157.348
0.0,157.664
802.0,157.98000000000002
0.0,158.296
0.0,158.612
781.0,158.928
0.0,159.244
0.0,159.56
853.0,159.876
0.0,160.192
0.0,160.508
746.0,160.824
