Counts,Degree
132.0,69.528
0.0,70.032
133.0,70.536
0.0,71.04
132.0,71.544
0.0,72.048
121.0,72.552
0.0,73.056
116.0,73.56
0.0,74.06400000000001
139.0,74.568
0.0,75.072
133.0,75.576
0.0,76.08
140.0,76.584
0.0,77.088
112.0,77.592
0.0,78.096
110.0,78.6
0.0,79.104
114.0,79.608
0.0,80.112
119.0,80.616
0.0,81.12
102.0,81.624
0.0,82.128
116.0,82.632
0.0,83.136
112.0,83.64
0.0,84.144
100.0,84.648
0.0,85.152
117.0,85.656
0.0,86.16
89.0,86.664
0.0,87.168
91.0,87.672
0.0,88.176
112.0,88.68
0.0,89.184
99.0,89.688
0.0,90.19200000000001
113.0,90.696
0.0,91.2
117.0,91.70400000000001
0.0,92.208
103.0,92.712
0.0,93.216
82.0,93.72
0.0,94.224
72.0,94.728
0.0,95.232
77.0,95.736
0.0,96.24
65.0,96.744
0.0,97.248
70.0,97.752
0.0,98.256
58.0,98.76
0.0,99.264
61.0,99.768
0.0,100.272
65.0,100.776
0.0,101.28
51.0,101.784
0.0,102.288
78.0,102.792
0.0,103.296
49.0,103.8
0.0,104.304
51.0,104.808
0.0,105.312
57.0,105.816
0.0,106.32000000000001
64.0,106.824
0.0,107.328
43.0,107.832
0.0,108.336
56.0,108.84
0.0,109.344
52.0,109.848
0.0,110.352
39.0,110.856
0.0,111.36
45.0,111.864
0.0,112.368
45.0,112.872
0.0,113.376
44.0,113.88
0.0,114.384
36.0,114.888
0.0,115.392
42.0,115.896
0.0,116.4
30.0,116.904
0.0,117.408
37.0,117.912
0.0,118.416
23.0,118.92
0.0,119.424
20.0,119.928
0.0,120.432
30.0,120.936
0.0,121.44
36.0,121.944
0.0,122.44800000000001
31.0,122.952
0.0,123.456
46.0,123.96000000000001
0.0,124.464
25.0,124.968
0.0,125.472
32.0,125.976
0.0,126.48
37.0,126.984
0.0,127.488
26.0,127.992
0.0,128.49599999999998
24.0,129.0
21.0,129.50400000000002
0.0,130.00799999999998
18.0,130.512
0.0,131.016
17.0,131.52
0.0,132.024
15.0,132.528
0.0,133.032
15.0,133.536
0.0,134.04
11.0,134.544
0.0,135.048
14.0,135.552
0.0,136.056
21.0,136.56
0.0,137.064
10.0,137.568
0.0,138.072
15.0,138.576
0.0,139.08
16.0,139.584
0.0,140.088
14.0,140.592
0.0,141.096
8.0,141.6
0.0,142.104
14.0,142.608
0.0,143.112
14.0,143.616
0.0,144.12
11.0,144.624
0.0,145.12800000000001
18.0,145.632
0.0,146.136
14.0,146.64000000000001
0.0,147.144
15.0,147.648
0.0,148.152
20.0,148.656
0.0,149.16
13.0,149.664
0.0,150.168
7.0,150.672
0.0,151.176
22.0,151.68
0.0,152.184
14.0,152.688
0.0,153.192
11.0,153.696
0.0,154.2
17.0,154.704
0.0,155.208
13.0,155.712
0.0,156.216
25.0,156.72
0.0,157.224
20.0,157.728
0.0,158.232
21.0,158.736
0.0,159.24
20.0,159.744
0.0,160.248
23.0,160.752
0.0,161.256
20.0,161.76
0.0,162.264
18.0,162.768
0.0,163.272
21.0,163.776
0.0,164.28
20.0,164.784
0.0,165.288
15.0,165.792
0.0,166.296
20.0,166.8
0.0,167.304
13.0,167.808
0.0,168.312
13.0,168.816
0.0,169.32
8.0,169.824
0.0,170.328
9.0,170.832
0.0,171.336
13.0,171.84
0.0,172.344
17.0,172.848
0.0,173.352
12.0,173.856
0.0,174.36
12.0,174.864
0.0,175.368
20.0,175.872
0.0,176.376
13.0,176.88
0.0,177.38400000000001
11.0,177.888
0.0,178.392
17.0,178.89600000000002
0.0,179.4
15.0,179.904
0.0,180.40800000000002
13.0,180.912
0.0,181.416
14.0,181.92
0.0,182.424
18.0,182.928
0.0,183.432
8.0,183.936
0.0,184.44
15.0,184.944
0.0,185.448
9.0,185.952
0.0,186.456
8.0,186.96
0.0,187.464
4.0,187.968
0.0,188.472
12.0,188.976
0.0,189.48
15.0,189.984
0.0,190.488
16.0,190.992
0.0,191.496
15.0,192.0
12.0,192.504
0.0,193.008
9.0,193.512
